target,seed,파일명,총인원,레코드,OD쌍
4000,10,d4000_s10.csv,4000,3490,76
4000,11,d4000_s11.csv,4000,3476,75
4000,12,d4000_s12.csv,4000,3485,78
4000,13,d4000_s13.csv,4000,3471,75
4000,14,d4000_s14.csv,4000,3500,77
4000,15,d4000_s15.csv,4000,3484,77
4000,16,d4000_s16.csv,4000,3498,75
4000,17,d4000_s17.csv,4000,3445,76
4000,18,d4000_s18.csv,4000,3472,76
4000,19,d4000_s19.csv,4000,3505,75
4000,20,d4000_s20.csv,4000,3521,76
5000,1,d5000_s01.csv,5000,4223,77
5000,2,d5000_s02.csv,5000,4249,76
5000,3,d5000_s03.csv,5000,4224,76
5000,4,d5000_s04.csv,5000,4223,76
5000,5,d5000_s05.csv,5000,4229,75
5000,6,d5000_s06.csv,5000,4268,76
5000,7,d5000_s07.csv,5000,4240,79
5000,8,d5000_s08.csv,5000,4251,75
5000,9,d5000_s09.csv,5000,4231,77
5000,10,d5000_s10.csv,5000,4259,76
5000,11,d5000_s11.csv,5000,4251,75
5000,12,d5000_s12.csv,5000,4266,78
5000,13,d5000_s13.csv,5000,4231,75
5000,14,d5000_s14.csv,5000,4278,77
5000,15,d5000_s15.csv,5000,4283,77
5000,16,d5000_s16.csv,5000,4222,74
5000,17,d5000_s17.csv,5000,4241,78
5000,18,d5000_s18.csv,5000,4233,73
5000,19,d5000_s19.csv,5000,4225,75
5000,20,d5000_s20.csv,5000,4266,76
