n,m,cnt,depT_hr,depT_m,arrT_hr,arrT_m,maxWait_min,,,,,
2,5,1,10,17,10,28,20.6,,,,,
3,5,1,10,17,10,27,21,,,,,
5,3,1,10,17,10,27,20.4,,,,,
5,3,1,10,19,10,29,20.4,,,,,
9,3,1,10,19,10,36,19,,,,,
2,5,1,10,20,10,30,20.6,,,,,
2,5,1,10,21,10,32,20.6,,,,,
3,9,1,10,21,10,38,19.9,,,,,
5,3,2,10,21,10,31,20.4,,,,,
5,7,1,10,21,10,33,19.6,,,,,
3,5,1,10,22,10,32,21,,,,,
5,7,1,10,22,10,34,19.6,,,,,
2,5,1,10,23,10,34,20.6,,,,,
3,9,1,10,23,10,40,19.9,,,,,
3,9,1,10,24,10,41,19.9,,,,,
3,5,1,10,25,10,35,21,,,,,
5,2,1,10,26,10,36,19.8,,,,,
5,3,1,10,26,10,36,20.4,,,,,
5,7,1,10,26,10,38,19.6,,,,,
9,3,1,10,26,10,43,19,,,,,
3,5,1,10,28,10,38,21,,,,,
3,5,2,10,29,10,39,21,,,,,
5,3,1,10,30,10,40,20.4,,,,,
3,5,1,10,33,10,43,21,,,,,
3,5,1,10,34,10,44,21,,,,,
2,5,1,10,35,10,46,20.6,,,,,
5,9,1,10,35,10,54,20.8,,,,,
3,9,1,10,36,10,53,19.9,,,,,
5,2,1,10,36,10,46,19.8,,,,,
5,7,2,10,37,10,49,19.6,,,,,
5,2,1,10,38,10,48,19.8,,,,,
9,3,1,10,40,10,57,19,,,,,
9,5,1,10,40,10,59,20.3,,,,,
3,5,2,10,41,10,51,21,,,,,
2,5,1,10,43,10,54,20.6,,,,,
5,3,1,10,43,10,53,20.4,,,,,
5,9,1,10,43,11,2,20.8,,,,,
5,3,1,10,44,10,54,20.4,,,,,
9,3,1,10,44,11,1,19,,,,,
3,5,1,10,45,10,55,21,,,,,
5,2,1,10,45,10,56,19.8,,,,,
3,9,1,10,46,11,3,19.9,,,,,
5,3,1,10,46,10,56,20.4,,,,,
3,5,1,10,47,10,57,21,,,,,
3,5,1,10,48,10,58,21,,,,,
3,9,1,10,48,11,5,19.9,,,,,
2,5,1,10,50,11,0,20.6,,,,,
3,5,1,10,51,11,1,21,,,,,
7,5,1,10,51,11,3,21.1,,,,,
2,5,1,10,52,11,2,20.6,,,,,
3,5,1,10,52,11,2,21,,,,,
5,3,1,10,55,11,5,20.4,,,,,
3,9,1,10,56,11,13,19.9,,,,,
5,2,1,10,57,11,8,19.8,,,,,
2,5,1,10,58,11,8,20.6,,,,,
5,7,1,10,58,11,10,19.6,,,,,
3,5,1,10,59,11,9,21,,,,,
5,7,1,11,0,11,12,19.7,,,,,
3,5,1,11,1,11,11,20.2,,,,,
5,3,1,11,1,11,11,20.2,,,,,
2,5,2,11,2,11,12,20.1,,,,,
9,3,1,11,2,11,19,19.3,,,,,
5,3,1,11,3,11,13,20.2,,,,,
5,7,1,11,3,11,15,19.7,,,,,
2,9,1,11,5,11,21,20.4,,,,,
5,2,1,11,5,11,16,20.1,,,,,
3,9,1,11,6,11,23,19.6,,,,,
5,9,1,11,6,11,25,21.2,,,,,
3,9,1,11,9,11,26,19.6,,,,,
5,3,1,11,11,11,21,20.2,,,,,
9,3,1,11,11,11,28,19.3,,,,,
2,5,1,11,12,11,22,20.1,,,,,
3,9,1,11,12,11,29,19.6,,,,,
2,5,1,11,14,11,24,20.1,,,,,
3,9,2,11,16,11,33,19.6,,,,,
9,3,1,11,16,11,33,19.3,,,,,
5,3,1,11,17,11,27,20.2,,,,,
5,9,1,11,18,11,37,21.2,,,,,
5,3,1,11,21,11,31,20.2,,,,,
5,9,1,11,21,11,40,21.2,,,,,
9,5,1,11,21,11,40,19.8,,,,,
5,3,1,11,22,11,32,20.2,,,,,
5,3,1,11,23,11,33,20.2,,,,,
2,5,2,11,25,11,36,20.1,,,,,
3,9,1,11,26,11,43,19.6,,,,,
5,3,1,11,27,11,37,20.2,,,,,
2,5,1,11,29,11,40,20.1,,,,,
2,5,1,11,30,11,40,20.1,,,,,
2,5,1,11,32,11,42,20.1,,,,,
9,3,1,11,33,11,50,19.3,,,,,
3,5,1,11,34,11,44,20.2,,,,,
9,5,1,11,36,11,55,19.8,,,,,
2,5,2,11,41,11,52,20.1,,,,,
2,5,2,11,42,11,52,20.1,,,,,
5,9,1,11,42,12,1,21.2,,,,,
7,9,1,11,43,11,57,20.1,,,,,
2,5,1,11,44,11,54,20.1,,,,,
3,5,1,11,45,11,55,20.2,,,,,
9,5,1,11,46,12,5,19.8,,,,,
5,9,1,11,47,12,6,21.2,,,,,
2,5,1,11,52,12,2,20.1,,,,,
2,5,1,11,55,12,6,20.1,,,,,
5,3,1,11,56,12,6,20.2,,,,,
2,5,1,12,0,12,10,20.3,,,,,
7,5,1,12,0,12,12,20.2,,,,,
7,9,1,12,7,12,21,19.1,,,,,
2,5,1,12,9,12,20,20.3,,,,,
5,3,1,12,15,12,25,19.8,,,,,
3,9,1,12,16,12,33,19.8,,,,,
3,9,1,12,17,12,34,19.8,,,,,
5,2,1,12,17,12,28,19.6,,,,,
3,9,1,12,18,12,35,19.8,,,,,
7,5,1,12,22,12,34,20.2,,,,,
9,3,1,12,22,12,39,19.3,,,,,
7,5,1,12,25,12,37,20.2,,,,,
2,5,1,12,26,12,36,20.3,,,,,
3,9,1,12,27,12,44,19.8,,,,,
3,5,1,12,28,12,38,20.2,,,,,
2,5,1,12,29,12,40,20.3,,,,,
3,9,1,12,30,12,47,19.8,,,,,
2,5,1,12,34,12,44,20.3,,,,,
5,9,1,12,34,12,53,19.8,,,,,
2,5,1,12,36,12,46,20.3,,,,,
5,9,1,12,36,12,55,19.8,,,,,
2,5,1,12,40,12,50,20.3,,,,,
5,9,1,12,40,12,59,19.8,,,,,
2,5,1,12,42,12,52,20.3,,,,,
5,9,1,12,42,13,1,19.8,,,,,
9,3,1,12,42,12,59,19.3,,,,,
3,9,1,12,44,13,1,19.8,,,,,
5,9,1,12,44,13,3,19.8,,,,,
2,5,1,12,45,12,56,20.3,,,,,
2,5,1,12,46,12,56,20.3,,,,,
3,9,1,12,47,13,4,19.8,,,,,
2,5,1,12,49,12,60,20.3,,,,,
2,5,2,12,52,13,2,20.3,,,,,
2,9,1,12,53,13,9,20,,,,,
2,5,1,12,57,13,8,20.3,,,,,
3,9,1,12,57,13,14,19.8,,,,,
2,5,1,12,59,13,10,20.3,,,,,
9,2,2,13,1,13,17,20,,,,,
9,3,1,13,3,13,20,18.6,,,,,
2,5,1,13,5,13,16,20.1,,,,,
7,5,1,13,6,13,18,20,,,,,
9,3,1,13,8,13,25,18.6,,,,,
5,9,1,13,11,13,30,19.5,,,,,
9,3,1,13,11,13,28,18.6,,,,,
9,2,1,13,18,13,34,20,,,,,
2,5,1,13,19,13,30,20.1,,,,,
7,5,1,13,27,13,39,20,,,,,
2,5,1,13,32,13,42,20.1,,,,,
7,5,1,13,33,13,45,20,,,,,
9,2,1,13,33,13,49,20,,,,,
7,9,1,13,37,13,51,18.6,,,,,
7,5,1,13,45,13,57,20,,,,,
5,2,1,13,50,14,0,19.3,,,,,
9,2,1,13,50,14,6,20,,,,,
7,5,1,13,51,14,3,20,,,,,
9,3,1,13,56,14,13,18.6,,,,,
2,5,1,13,57,14,8,20.1,,,,,
2,5,2,14,1,14,12,19.8,,,,,
5,2,1,14,1,14,12,19.5,,,,,
2,5,1,14,3,14,14,19.8,,,,,
3,9,2,14,4,14,21,19.1,,,,,
5,2,1,14,5,14,16,19.5,,,,,
3,5,1,14,6,14,16,20.3,,,,,
9,3,1,14,6,14,23,19,,,,,
2,5,1,14,8,14,18,19.8,,,,,
3,5,1,14,10,14,20,20.3,,,,,
3,9,1,14,11,14,28,19.1,,,,,
2,5,2,14,12,14,22,19.8,,,,,
3,5,2,14,12,14,22,20.3,,,,,
2,5,1,14,14,14,24,19.8,,,,,
3,9,1,14,14,14,31,19.1,,,,,
2,5,1,14,16,14,26,19.8,,,,,
3,5,1,14,17,14,27,20.3,,,,,
3,5,1,14,18,14,28,20.3,,,,,
3,9,1,14,18,14,35,19.1,,,,,
5,9,1,14,19,14,38,19.6,,,,,
2,5,1,14,22,14,32,19.8,,,,,
5,9,1,14,25,14,44,19.6,,,,,
2,5,1,14,26,14,36,19.8,,,,,
3,5,1,14,26,14,36,20.3,,,,,
3,9,1,14,26,14,43,19.1,,,,,
2,5,1,14,27,14,38,19.8,,,,,
3,9,1,14,27,14,44,19.1,,,,,
2,5,1,14,29,14,40,19.8,,,,,
3,5,1,14,29,14,39,20.3,,,,,
3,5,1,14,31,14,41,20.3,,,,,15
2,5,1,14,32,14,42,19.8,,,,,
3,5,1,14,36,14,46,20.3,,,,,
3,5,1,14,37,14,47,20.3,,,,,
3,5,1,14,38,14,48,20.3,,,,,
3,5,1,14,39,14,49,20.3,,,,,
3,9,1,14,40,14,57,19.1,,,,,
3,5,1,14,41,14,51,20.3,,,,,
5,9,1,14,42,15,1,19.6,,,,,
2,5,2,14,45,14,56,19.8,,,,,
3,5,1,14,45,14,55,20.3,,,,,
2,5,1,14,46,14,56,19.8,,,,,
5,9,1,14,46,15,5,19.6,,,,,
2,5,3,14,47,14,58,19.8,,,,,
3,5,1,14,50,14,60,20.3,,,,,
2,5,1,14,52,15,2,19.8,,,,,
5,9,1,14,52,15,11,19.6,,,,,
3,9,1,14,53,15,10,19.1,,,,,
3,5,1,14,54,15,4,20.3,,,,,
2,5,1,14,55,15,6,19.8,,,,,
3,9,1,14,56,15,13,19.1,,,,,
3,5,3,14,58,15,8,20.3,,,,,
2,5,1,15,0,15,10,19.7,,,,,
3,5,2,15,0,15,10,20.4,,,,,
3,5,1,15,1,15,11,20.4,,,,,
3,5,3,15,4,15,14,20.4,,,,,
2,5,2,15,6,15,16,19.7,,,,,
3,5,1,15,8,15,18,20.4,,,,,
3,5,1,15,10,15,20,20.4,,,,,
2,5,2,15,11,15,22,19.7,,,,,
5,2,1,15,13,15,24,19.7,,,,,
2,5,2,15,14,15,24,19.7,,,,,
3,5,2,15,14,15,24,20.4,,,,,
5,2,1,15,15,15,26,19.7,,,,,
2,5,1,15,20,15,30,19.7,,,,,
3,5,1,15,20,15,30,20.4,,,,,
2,5,1,15,21,15,32,19.7,,,,,
3,5,1,15,23,15,33,20.4,,,,,
3,9,1,15,25,15,42,18.9,,,,,
3,5,1,15,26,15,36,20.4,,,,,
5,3,1,15,26,15,36,20.1,,,,,
9,2,1,15,26,15,42,19.7,,,,,
3,5,1,15,27,15,37,20.4,,,,,
9,3,1,15,27,15,44,19.2,,,,,
3,5,1,15,31,15,41,20.4,,,,,
5,9,1,15,31,15,50,19.4,,,,,
3,5,1,15,33,15,43,20.4,,,,,
7,5,1,15,34,15,46,20.1,,,,,
2,5,1,15,35,15,46,19.7,,,,,
3,9,1,15,35,15,52,18.9,,,,,
9,2,1,15,35,15,51,19.7,,,,,
3,5,1,15,37,15,47,20.4,,,,,
9,2,1,15,38,15,54,19.7,,,,,
2,5,2,15,39,15,50,19.7,,,,,
9,2,1,15,41,15,57,19.7,,,,,
9,2,1,15,42,15,58,19.7,,,,,
2,5,2,15,43,15,54,19.7,,,,,
3,9,1,15,43,15,60,18.9,,,,,
2,5,1,15,44,15,54,19.7,,,,,
3,5,1,15,44,15,54,20.4,,,,,
9,7,1,15,44,15,58,19.2,,,,,
9,2,1,15,45,16,1,19.7,,,,,
2,5,2,15,46,15,56,19.7,,,,,
9,2,1,15,46,16,2,19.7,,,,,
2,5,1,15,47,15,58,19.7,,,,,
3,5,1,15,47,15,57,20.4,,,,,
7,5,1,15,47,15,59,20.1,,,,,
3,5,2,15,50,15,60,20.4,,,,,
9,2,1,15,51,16,7,19.7,,,,,
5,7,1,15,52,16,4,19.7,,,,,
3,5,1,15,54,16,4,20.4,,,,,
3,5,1,15,55,16,5,20.4,,,,,
2,5,1,15,56,16,6,19.7,,,,,
3,5,1,15,56,16,6,20.4,,,,,
5,2,1,15,56,16,6,19.7,,,,,
3,5,2,15,57,16,7,20.4,,,,,
2,5,1,15,58,16,8,19.7,,,,,
2,5,1,15,59,16,10,19.7,,,,,
3,5,1,16,0,16,10,20.3,,,,,
2,5,2,16,1,16,12,20,,,,,
2,5,1,16,2,16,12,20,,,,,
5,2,1,16,3,16,14,19.9,,,,,
5,9,1,16,4,16,23,19.7,,,,,
9,7,1,16,4,16,18,19.4,,,,,
3,5,1,16,5,16,15,20.3,,,,,
5,2,1,16,5,16,16,19.9,,,,,
2,5,1,16,6,16,16,20,,,,,
5,9,2,16,6,16,25,19.7,,,,,
3,9,1,16,7,16,24,19.5,,,,,
9,3,1,16,7,16,24,19.4,,,,,
2,5,1,16,10,16,20,20,,,,,
3,5,1,16,10,16,20,20.3,,,,,
3,5,1,16,11,16,21,20.3,,,,,
5,2,1,16,13,16,24,19.9,,,,,
3,9,1,16,14,16,31,19.5,,,,,
3,5,1,16,15,16,25,20.3,,,,,
3,9,3,16,15,16,32,19.5,,,,,
5,3,1,16,15,16,25,20.3,,,,,
9,3,1,16,15,16,32,19.4,,,,,
9,5,1,16,16,16,35,20.9,,,,,
2,5,1,16,17,16,28,20,,,,,
2,5,1,16,18,16,28,20,,,,,
3,5,2,16,20,16,30,20.3,,,,,
2,5,2,16,21,16,32,20,,,,,
9,3,1,16,21,16,38,19.4,,,,,
2,5,3,16,22,16,32,20,,,,,
5,9,1,16,23,16,42,19.7,,,,,
2,5,1,16,24,16,34,20,,,,,
2,5,1,16,26,16,36,20,,,,,
3,9,1,16,26,16,43,19.5,,,,,
9,5,1,16,27,16,46,20.9,,,,,
2,5,1,16,28,16,38,20,,,,,
9,7,1,16,28,16,42,19.4,,,,,
9,3,1,16,30,16,47,19.4,,,,,
2,5,1,16,32,16,42,20,,,,,
3,5,1,16,32,16,42,20.3,,,,,
5,9,1,16,32,16,51,19.7,,,,,
2,5,3,16,33,16,44,20,,,,,
3,5,1,16,33,16,43,20.3,,,,,
2,5,1,16,35,16,46,20,,,,,
9,3,2,16,36,16,53,19.4,,,,,
3,9,1,16,37,16,54,19.5,,,,,
2,5,1,16,38,16,48,20,,,,,
2,5,1,16,39,16,50,20,,,,,
3,5,1,16,39,16,49,20.3,,,,,
3,9,1,16,39,16,56,19.5,,,,,
5,3,1,16,39,16,49,20.3,,,,,
7,5,1,16,39,16,51,20.7,,,,,
2,5,2,16,40,16,50,20,,,,,
9,3,1,16,40,16,57,19.4,,,,,
9,5,1,16,41,17,0,20.9,,,,,
3,5,1,16,42,16,52,20.3,,,,,
7,5,1,16,43,16,55,20.7,,,,,
9,5,1,16,43,17,2,20.9,,,,,
2,5,1,16,44,16,54,20,,,,,
3,5,1,16,44,16,54,20.3,,,,,
2,5,2,16,45,16,56,20,,,,,
3,5,2,16,45,16,55,20.3,,,,,
2,5,1,16,47,16,58,20,,,,,
9,5,1,16,47,17,6,20.9,,,,,
3,5,3,16,48,16,58,20.3,,,,,
2,5,1,16,49,16,60,20,,,,,
3,5,1,16,49,16,59,20.3,,,,,
9,5,1,16,49,17,8,20.9,,,,,
3,9,2,16,50,17,7,19.5,,,,,
9,5,1,16,50,17,9,20.9,,,,,
2,5,3,16,51,17,2,20,,,,,
3,5,1,16,53,17,3,20.3,,,,,
2,5,1,16,54,17,4,20,,,,,
3,5,1,16,54,17,4,20.3,,,,,
2,5,3,16,55,17,6,20,,,,,
3,5,1,16,55,17,5,20.3,,,,,
3,9,1,16,55,17,12,19.5,,,,,
2,5,1,16,56,17,6,20,,,,,
3,9,1,16,56,17,13,19.5,,,,,
5,2,1,16,58,17,8,19.9,,,,,
2,5,1,16,59,17,10,20,,,,,
3,5,1,16,59,17,9,20.3,,,,,
2,5,1,17,0,17,10,21,,,,,
3,9,1,17,0,17,17,20.2,,,,,
2,5,1,17,1,17,12,21,,,,,
3,5,2,17,1,17,11,21.9,,,,,
9,3,1,17,2,17,19,20.1,,,,,
3,5,2,17,5,17,15,21.9,,,,,
2,5,1,17,6,17,16,21,,,,,
3,5,2,17,6,17,16,21.9,,,,,
2,5,1,17,7,17,18,21,,,,,
9,5,1,17,7,17,26,20.6,,,,,
3,5,1,17,8,17,18,21.9,,,,,
9,3,2,17,8,17,25,20.1,,,,,
2,5,2,17,9,17,20,21,,,,,
3,5,2,17,9,17,19,21.9,,,,,
3,5,2,17,10,17,20,21.9,,,,,
3,9,1,17,10,17,27,20.2,,,,,
5,2,1,17,10,17,20,20.4,,,,,
2,5,1,17,11,17,22,21,,,,,
3,5,1,17,11,17,21,21.9,,,,,
2,5,2,17,12,17,22,21,,,,,
3,5,1,17,12,17,22,21.9,,,,,
3,5,2,17,13,17,23,21.9,,,,,
5,9,1,17,13,17,32,20.1,,,,,
7,5,1,17,13,17,25,20.6,,,,,
3,5,1,17,14,17,24,21.9,,,,,
2,5,1,17,16,17,26,21,,,,,
3,5,2,17,16,17,26,21.9,,,,,
5,3,1,17,16,17,26,20.4,,,,,
3,5,2,17,18,17,28,21.9,,,,,
3,5,2,17,19,17,29,21.9,,,,,
3,5,1,17,20,17,30,21.9,,,,,
5,3,1,17,20,17,30,20.4,,,,,
9,5,1,17,20,17,39,20.6,,,,,
5,2,1,17,21,17,32,20.4,,,,,
2,5,1,17,23,17,34,21,,,,,
3,5,1,17,24,17,34,21.9,,,,,
3,5,1,17,25,17,35,21.9,,,,,
9,3,1,17,25,17,42,20.1,,,,,
2,5,2,17,26,17,36,21,,,,,
3,5,1,17,28,17,38,21.9,,,,,
5,3,1,17,28,17,38,20.4,,,,,
9,3,1,17,28,17,45,20.1,,,,,
2,5,1,17,29,17,40,21,,,,,
3,5,1,17,29,17,39,21.9,,,,,
9,3,1,17,29,17,46,20.1,,,,,
2,5,1,17,30,17,40,21,,,,,
3,5,2,17,30,17,40,21.9,,,,,
2,5,2,17,31,17,42,21,,,,,
5,3,1,17,31,17,41,20.4,,,,,
2,5,1,17,32,17,42,21,,,,,
3,5,1,17,32,17,42,21.9,,,,,
2,5,1,17,33,17,44,21,,,,,
3,5,2,17,33,17,43,21.9,,,,,
3,5,2,17,34,17,44,21.9,,,,,
2,5,1,17,35,17,46,21,,,,,
3,5,1,17,36,17,46,21.9,,,,,
2,5,2,17,37,17,48,21,,,,,
3,5,4,17,37,17,47,21.9,,,,,
3,5,1,17,37,17,47,21.9,,,,,
3,5,2,17,38,17,48,21.9,,,,,
5,9,1,17,38,17,57,20.1,,,,,
7,5,1,17,38,17,50,20.6,,,,,
3,5,2,17,39,17,49,21.9,,,,,
3,5,2,17,40,17,50,21.9,,,,,
9,5,1,17,41,18,0,20.6,,,,,
3,5,1,17,42,17,52,21.9,,,,,
9,3,1,17,42,17,59,20.1,,,,,
2,5,1,17,43,17,54,21,,,,,
3,5,1,17,43,17,53,21.9,,,,,
3,5,2,17,44,17,54,21.9,,,,,
3,5,4,17,45,17,55,21.9,,,,,
7,5,1,17,45,17,57,20.6,,,,,
3,5,2,17,46,17,56,21.9,,,,,
3,5,2,17,47,17,57,21.9,,,,,
2,5,1,17,48,17,58,21,,,,,
3,5,2,17,48,17,58,21.9,,,,,
2,5,1,17,49,17,60,21,,,,,
7,5,1,17,49,18,1,20.6,,,,,
3,5,1,17,50,17,60,21.9,,,,,
2,5,1,17,51,18,2,21,,,,,
5,2,1,17,51,18,2,20.4,,,,,
3,5,2,17,52,18,2,21.9,,,,,
3,5,1,17,54,18,4,21.9,,,,,
3,9,1,17,54,18,11,20.2,,,,,
3,5,1,17,55,18,5,21.9,,,,,
5,9,1,17,55,18,14,20.1,,,,,
3,5,1,17,56,18,6,21.9,,,,,
9,3,1,17,56,18,13,20.1,,,,,
3,5,4,17,57,18,7,21.9,,,,,
9,5,2,17,57,18,16,20.6,,,,,
3,5,1,17,58,18,8,21.9,,,,,
5,9,1,17,58,18,17,20.1,,,,,
7,3,1,18,1,18,10,19.1,,,,,
2,5,1,18,2,18,12,22,,,,,
2,5,1,18,3,18,14,22,,,,,
3,5,1,18,4,18,14,21.9,,,,,
2,5,1,18,5,18,16,22,,,,,
2,5,2,18,8,18,18,22,,,,,
2,5,3,18,13,18,24,22,,,,,
7,3,1,18,13,18,22,19.1,,,,,
2,5,2,18,14,18,24,22,,,,,
3,5,1,18,14,18,24,21.9,,,,,
2,5,2,18,15,18,26,22,,,,,
2,5,1,18,16,18,26,22,,,,,
2,5,2,18,17,18,28,22,,,,,
2,5,2,18,19,18,30,22,,,,,
5,3,1,18,19,18,29,21.2,,,,,
2,5,2,18,20,18,30,22,,,,,
5,2,1,18,20,18,30,21.6,,,,,
7,3,1,18,22,18,31,19.1,,,,,
2,5,1,18,24,18,34,22,,,,,
3,5,1,18,25,18,35,21.9,,,,,
7,3,1,18,26,18,35,19.1,,,,,
2,5,1,18,27,18,38,22,,,,,
2,5,1,18,28,18,38,22,,,,,
2,5,2,18,30,18,40,22,,,,,
2,5,1,18,31,18,42,22,,,,,
7,5,1,18,31,18,43,20,,,,,
3,5,1,18,32,18,42,21.9,,,,,
2,5,2,18,33,18,44,22,,,,,
2,5,1,18,34,18,44,22,,,,,
3,5,1,18,35,18,45,21.9,,,,,
7,3,1,18,37,18,46,19.1,,,,,
2,5,1,18,38,18,48,22,,,,,
3,5,1,18,39,18,49,21.9,,,,,
7,3,1,18,39,18,48,19.1,,,,,
7,3,1,18,41,18,50,19.1,,,,,
3,5,1,18,42,18,52,21.9,,,,,
2,5,3,18,43,18,54,22,,,,,
7,3,1,18,43,18,52,19.1,,,,,
2,5,2,18,44,18,54,22,,,,,
5,2,1,18,44,18,54,21.6,,,,,
2,5,1,18,46,18,56,22,,,,,
3,5,1,18,46,18,56,21.9,,,,,
2,5,1,18,48,18,58,22,,,,,
2,5,2,18,49,18,60,22,,,,,
2,5,1,18,50,19,0,22,,,,,
2,5,2,18,52,19,2,22,,,,,
2,5,1,18,58,19,8,22,,,,,
2,5,3,18,59,19,10,22,,,,,
2,5,1,19,0,19,10,21.5,,,,,
2,5,1,19,2,19,12,21.5,,,,,
3,5,1,19,3,19,13,21.3,,,,,
2,5,1,19,4,19,14,21.5,,,,,
2,5,1,19,6,19,16,21.5,,,,,
2,5,1,19,8,19,18,21.5,,,,,
3,5,1,19,9,19,19,21.3,,,,,
2,5,1,19,10,19,20,21.5,,,,,
2,5,1,19,11,19,22,21.5,,,,,
5,3,1,19,11,19,21,21.3,,,,,
2,5,1,19,14,19,24,21.5,,,,,
3,5,1,19,14,19,24,21.3,,,,,
5,2,1,19,16,19,26,20.6,,,,,
2,5,1,19,17,19,28,21.5,,,,,
2,5,1,19,18,19,28,21.5,,,,,
2,5,1,19,22,19,32,21.5,,,,,
2,5,1,19,26,19,36,21.5,,,,,
3,5,2,19,27,19,37,21.3,,,,,
2,5,1,19,29,19,40,21.5,,,,,
7,5,1,19,29,19,41,19.9,,,,,
2,5,1,19,30,19,40,21.5,,,,,
5,2,1,19,30,19,40,20.6,,,,,
2,5,2,19,31,19,42,21.5,,,,,
7,3,1,19,31,19,40,19.8,,,,,
2,5,1,19,32,19,42,21.5,,,,,
3,5,1,19,37,19,47,21.3,,,,,
2,5,1,19,38,19,48,21.5,,,,,
3,5,2,19,38,19,48,21.3,,,,,
2,5,1,19,39,19,50,21.5,,,,,
2,5,1,19,41,19,52,21.5,,,,,
3,5,1,19,41,19,51,21.3,,,,,
2,5,1,19,42,19,52,21.5,,,,,
3,5,1,19,44,19,54,21.3,,,,,
2,5,1,19,49,19,60,21.5,,,,,
5,7,1,19,50,20,2,21.2,,,,,
2,5,1,19,55,20,6,21.5,,,,,
2,5,1,19,56,20,6,21.5,,,,,
2,5,1,19,57,20,8,21.5,,,,,
3,5,1,19,59,20,9,21.3,,,,,
2,5,1,20,0,20,10,19.6,,,,,
2,5,2,20,1,20,12,19.6,,,,,
5,2,1,20,1,20,12,20.1,,,,,
2,5,3,20,2,20,12,19.6,,,,,
